letter,type,media,text,gloss
barl,video,Luug,Luug,"fish"
barl,video,"Lii-1",Lii,"dog"
barl,video,gaaL,gaaL,"snare"
barl,video,nachqekLox,nachqekLox,"I am fishing"
barl,video,tlquuL,tlquuL,"rope"
d,video,den,den,"four"
d,video,kqo3d,kqo3d,"enough"
d,video,shaadeh,shaadeh,"my older sister"
d,video,tuud,tuud,"bald eagle"
d,video,desh_ax-1,desh_ax,"his, hers or its own house"
d,video,chqelahdziid,chqelahdziid,"bee"
t_glot,video,tqa1ath,tqa1ath,"cottonwood"
t_glot,video,deltqel,deltqel,"the red one"
t_glot,video,tqintqeh,tqintqeh,"you are"
t,video,taag1,taag,three
t,video,tsqiit,tsqiit,porcupine
t,video,tuutiiL,tuutiiL,"cup"
t,video,naqinth_et,naqinth_et,"you are standing"
t,video,teyh,teyh,"hill"
t,video,shi1igot,shi1igot,"it stung me"
ee,video,xee,xee,"grease"
ee,video,dzeen,dzeen,"day"
ee,video,tthee-2,tthee,"rock"
ee,video,"sh_e1eq","sh_e1eq","only"
ee,video,e1etqeey,e1etqeey,"frybread"
ee,video,tthqe1ex,tthqe1ex,"sinew"
e,video,chqeth_eth,chqeth_eth,"its hide"
e,video,ehtsqeyh,ehtsqeyh,"it is windy"
e,video,tsqe1hxeh,tsqe1hxeh,"woman"
e,video,tthek,tthek,"fence"
e,video,desh_ax-2,desh_ax,"his, her or its own house "
e,video,tuuth_eL,tuuth_eL,"soup"
e_nasal,video,tsi1nqee,tsi1nqee,"thank you"
e_nasal,video,kqe1y,kqe1yq,"willow"
e_nasal,video,xunL_ee-2,xunL_ee,"there is"
e_nasal,video,shi1q_geyh-2,shiq_geyh,"dry meat"
e_nasal,video,eetee,eetee,"she or he is sleeping"
e_nasal,video,dze1ex_tlqe2yh,dze1ex_tleyh,"soft spruce pitch"
a,video,shaa,shaa,"for me"
a,video,sa1x,sa1x,"gaff hook"
a,video,kqe1etaa,kqe1etaa,"back to where it was"
a,video,shda1q,shda1q,"my chin"
a,video,saa,saa,"the sun"
a,video,tah,tah,"during"
a_nasal,video,chqeta2aq,chqeta2aq,"leaf"
a_nasal,video,chqaa,chqaa,"potlatch food"
a_nasal,video,mehkqa3ay,mehkqa3ay,"seagull"
a_nasal,video,aa,aa,"yes"
a_nasal,video,taatsa1aq,taatsa1aq,"raven"
ch_glot,video,chqox,chqox,"porcupine quills"
ch_glot,video,chqe2l,chqe2l,"clothes"
ch_glot,video,chqiigod,chqiigod,"fork"
ch,video,chox,chox,"big"
ch,video,chi1h,chi1h,"also"
ch,video,dechenh,dechenh,"stick"
ddh,video,ddheL,ddheL,"mountains"
ddh,video,teddh,teddh,"night"
ddh,video,tsqaddheL,tsqaddheL,"we are chopping (it)"
ddh,video,naandeddh,naandeddh,"in front"
dh,video,dhihdah,dhihdah,"I am sitting"
dh,video,Luudh,Luudh,"dwarf birch"
dh,video,da1dhi1iney,da1dhi1iney,"be quiet!"
dh,video,shth_e2edhq,shth_e1dhq,"my skin"
dl,video,dlaat,dlaat,"moss"
dl,video,kqa1htse3dl,kqahtse3dl,"spoon"
dl,video,dle3g-2,dle3g,"tree squirrel"
dl,video,dinkqodl,dinkqodl,"it is short"
dl,video,edlo1x,edlo1x,"she or he is laughing"
dl,video,wutsa2adlq,wutsa2adlq,"his, her or its belly"
dz,video,chqeldzes,chqeldzes,"she or he is dancing"
dz,video,kelahdo3dz,kelahdo3dz,"an ant"
dz,video,dze1ex,dze1ex,"pitch"
dz,video,deldle3edz,deldle3edz,"the blue/green one"
dz,video,ndza2aghq,dza2aghq,"your ear"
dz,video,nandi3idz,nandi3idz,"behind, in back of"
g,video,gah,gah1,"rabbit"
g,video,taag,taag,"three"
g,video,shi1q_geyh-1,shiq_geyh,"dry meat"
g,video,dle3g-1,dle3g,"tree squirrel"
g,video,ngo1t,ngot,"your knee"
g,video,danchqo2gq,danchqogq,"raspberry"
gh,video,ghihhaaL,ghihhaaL,"I am walking"
gh,video,nesh_eegh,nesh_eegh,"plant"
gh,video,e3y_gha,ey_gha,"because"
gh,video,tqaagh,tqaagh,"under"
gh,video,gheldzeey,gheldzeey,"moon"
gh,video,taama3agh,taamaagh,"beach"
glot,video,nqaat,nqaat,"your wife"
glot,video,shuus_i1q,shuus_i1q,"my name"
glot,video,aa,aa,"yes"
glot,video,nta1q,nta1q,"your father"
glot,video,taatsqelqo1k,taatsqelqo1k,"we are swimming"
glot,video,ne1nq,ne1nq,"the land"
h,video,he3n,he3n,"small creek"
h,video,nehtseyh,nehtseyh,"she or he is picking, gathering (it)"
h,video,aahaaL,aahaaL,"he or she is walking"
h,video,teejuh,teejuh,"poor thing!"
h,video,nenihhuuth,nenihhuuth,"I am pulling it"
h,video,xah,xah,"Canada goose"
i_nasal,video,kqii,kqii,"birch tree"
i_nasal,video,kentsiith,kentsiith,"mocassins"
i_nasal,video,dihtsii,dihtsii,"I'm hungry"
i_nasal,video,nihqeh,nihqeh,"you see it"
i,video,di1i,di1i,"what"
i,video,xdeldiix,xdeldiix,"she or he is learning"
i,video,Lii-2,Lii,"dog"
i,video,shi1q,shi1q,"meat"
i,video,yehnih,yehnih,"she or he says to him or her"
i,video,si1ntqeh,si1ntqeh,"he, she or it is"
j,video,jah,jah,"here"
j,video,je3g,je3g,"berry"
j,video,xadetjuut,xadetjuut,"smoke is rising"
k_glot,video,kqa1q,kqa1q,"gun"
k_glot,video,kqe1yq,kqe1yq,"willow"
k_glot,video,kqoth,kqoth,"clouds"
k,video,kol,kol,"none"
k,video,nek_qeh,nek_qeh,"I see (it)"
k,video,shke1q,shke1q,"my foot"
k,video,elok,elok,"it's hot!"
k,video,koth,koth,"cold, flu"
k,video,eek,eek,"coat"
l_under,video,shinl_a1q,shinL_a1q,"my hand"
l_under,video,xunL_ee-1,xunL_ee,"it is"
l_under,video,chqinl_uut,chqinL_uut,"hail"
l,video,laale3el,laale3el,"butterfly"
l,video,uljaaddh,uljaaddh,"pike (fish)"
l,video,le1qe,le1qe,"I don't know"
l,video,ldi3il,ldi3il,"tea"
l,video,chqeli1ittho2ghq,chqeli1ittho2ghq,"grizzly bear"
